O1Region,Area,IsNominal,IsLandTerminating,IsTidewater,IsLakeTerminating,IsShelfTerminating,IsMarineTerminating,AreaNoC2,AreaNoC2NoNominal
01,86725.05299999926,0,26909,199,148,0,51,86725.05299999926,86725.05299999926
02,14524.2240000003,0,18855,0,0,0,0,14524.2240000003,14524.2240000003
03,105110.6419999998,0,4298,258,0,0,258,105110.6419999998,105110.6419999998
04,40888.228000000025,0,7347,68,0,0,68,40888.228000000025,40888.228000000025
05,130071.15500000022,0,19358,903,0,0,903,89717.06599999996,89717.06599999996
06,11059.700000000006,0,568,0,0,0,0,11059.700000000006,11059.700000000006
07,33958.93399999999,0,1474,141,0,0,141,33958.93399999999,33958.93399999999
08,2949.1029999999937,4,3417,0,0,0,0,2949.1029999999937,2949.002999999994
09,51591.599999999984,0,690,379,0,4,375,51591.599999999984,51591.599999999984
10,2410.0510000000027,116,5149,2,0,0,2,2410.0510000000027,2325.5740000000014
11,2092.145999999993,2,3927,0,0,0,0,2092.145999999993,2091.9799999999927
12,1306.9920000000066,339,1888,0,0,0,0,1306.9920000000066,1151.177999999998
13,49303.41499999964,0,54429,0,0,0,0,49303.41499999964,49303.41499999964
14,33568.29800000012,0,27988,0,0,0,0,33568.29800000012,33568.29800000012
15,14734.204000000029,0,13119,0,0,0,0,14734.204000000029,14734.204000000029
16,2341.0359999999973,0,2939,0,0,0,0,2341.0359999999973,2341.0359999999973
17,29429.079999999783,0,15690,218,133,0,85,29429.079999999783,29429.079999999783
18,1161.8009999999995,0,3537,0,0,0,0,1161.8009999999995,1161.8009999999995
19,132867.2189999997,0,1231,1521,17,165,1339,132867.2189999997,132867.2189999997
