,4975,5000,5025,5075,5125,5175,5225,5250,5275,5325,5375
2003,-1855.0,,-1884.0,-1827.0,-830.0,5.0,151.0,,166.0,158.0,
2004,-2607.0,,-2202.0,-1556.0,-1382.0,-1251.0,-1130.0,,-1126.0,-1190.0,
2005,,-4608.0,,-2964.0,-2492.0,-2077.0,-753.0,,,,
2006,,-2834.0,,-690.0,-25.0,76.0,323.0,,,,
2007,,-2429.0,,-1394.0,-337.0,-226.0,346.0,,,,
2008,,-9396.0,,-888.0,890.0,2291.0,,3676.0,,,
2009,,-3644.0,,-2208.0,-2003.0,-1503.0,,380.0,,,
2010,,-5026.0,,-4226.0,-3225.0,-3512.0,,540.0,,,
2011,,-487.0,,-281.0,-239.0,-223.0,14.0,,,,
2012,,,-1929.0,-809.0,-436.0,-332.0,4.0,,978.0,1960.0,1960.0
2013,,,-1968.0,-568.0,-421.0,-142.0,1010.0,,870.0,870.0,870.0
2014,,,-1742.0,-1212.0,-507.0,-507.0,290.0,,270.0,349.0,349.0
2015,,,-689.0,-427.0,-166.0,-280.0,649.0,,951.0,951.0,951.0
2016,,,,-2938.0,-2916.0,-2894.0,-2463.0,,-1181.0,101.0,101.0
2017,,,,-2310.0,-1664.0,-1329.0,-891.0,,308.0,760.0,760.0
2018,,,,-1336.0,-640.0,-60.0,494.0,,1120.0,807.0,807.0
