,2925,2975,3025,3075,3125
2000,-1612.72,-1483.5,-1368.235294117647,-980.5,-389.75
2001,-108.80000000000001,40.75,164.76470588235296,366.5,500.0
2002,-951.6800000000001,-752.5,-254.47058823529403,116.5,169.125
2003,-3364.8,-3262.5,-3088.823529411765,-2705.0,-2311.25
2004,-1386.4,-1134.25,-1142.0588235294117,-914.0,-477.375
2005,-2542.32,-2446.75,-2288.176470588235,-2021.5,-1577.25
2006,-2425.1176470588234,-2308.6470588235293,-2236.8823529411766,-1935.5,-1420.0
2007,-1785.1764705882354,-1729.764705882353,-1678.5882352941176,-1340.0,-830.75
2008,-1941.1764705882354,-1834.8235294117646,-1568.9411764705883,-1305.5,-766.875
2009,-755.4705882352941,-707.7058823529412,-591.2352941176471,-307.0,-65.375
2010,-1421.4705882352941,-1010.8823529411765,-760.2941176470588,-448.0,-4.125
2011,-1829.2941176470588,-1729.0588235294117,-1084.3529411764705,-864.5,-474.5
2012,-3009.4117647058824,-2694.470588235294,-2246.823529411765,-1816.5,-1365.0
2013,-1283.5294117647059,-1113.764705882353,-942.5882352941176,-546.0,211.875
2014,-1326.7058823529412,-1028.0,-598.0,-279.0,215.625
2015,-2627.176470588235,-2019.5294117647059,-1807.1764705882354,-1525.0,-924.0
2016,-2618.823529411765,-2391.8823529411766,-1951.2941176470588,-1574.5,-667.375
2017,-1735.4705882352941,-2037.5882352941176,-1830.5294117647059,-1372.5,-735.5
2018,-1857.3529411764707,-1573.4705882352941,-1565.8235294117646,-1381.5,-667.875
2019,-2173.764705882353,-1965.2941176470588,-1701.764705882353,-1468.0,-1045.375
