reg,period,dmdt,err_dmdt,dmdtda,err_dmdtda
1,2000-01-01_2010-01-01,-54.40,4.93,-616.88,56.29
1,2010-01-01_2020-01-01,-78.82,6.51,-938.57,78.07
1,2006-01-01_2019-01-01,-72.09,5.83,-847.74,69.07
1,2000-01-01_2020-01-01,-66.61,5.43,-773.79,63.56
2,2000-01-01_2010-01-01,-4.42,0.58,-302.12,39.69
2,2010-01-01_2020-01-01,-10.69,1.21,-768.77,87.36
2,2006-01-01_2019-01-01,-8.94,0.99,-634.38,70.37
2,2000-01-01_2020-01-01,-7.56,0.85,-529.43,59.52
3,2000-01-01_2010-01-01,-29.07,2.79,-277.67,26.80
3,2010-01-01_2020-01-01,-32.00,2.72,-307.91,26.40
3,2006-01-01_2019-01-01,-32.52,2.60,-312.36,25.12
3,2000-01-01_2020-01-01,-30.54,2.42,-292.74,23.41
4,2000-01-01_2010-01-01,-23.55,2.16,-578.24,53.29
4,2010-01-01_2020-01-01,-29.42,2.39,-727.61,59.56
4,2006-01-01_2019-01-01,-27.99,2.22,-690.94,55.33
4,2000-01-01_2020-01-01,-26.48,2.13,-652.65,52.90
5,2000-01-01_2010-01-01,-35.91,3.07,-413.85,35.61
5,2010-01-01_2020-01-01,-35.07,2.86,-441.56,36.30
5,2006-01-01_2019-01-01,-35.28,2.87,-434.14,35.53
5,2000-01-01_2020-01-01,-35.49,2.89,-427.09,35.03
6,2000-01-01_2010-01-01,-11.00,0.90,-1012.47,83.67
6,2010-01-01_2020-01-01,-7.71,0.64,-737.38,61.32
6,2006-01-01_2019-01-01,-8.67,0.65,-820.78,62.39
6,2000-01-01_2020-01-01,-9.36,0.70,-877.49,66.59
7,2000-01-01_2010-01-01,-7.80,0.88,-229.33,26.05
7,2010-01-01_2020-01-01,-13.27,1.11,-396.17,33.26
7,2006-01-01_2019-01-01,-11.63,0.91,-346.01,27.34
7,2000-01-01_2020-01-01,-10.53,0.85,-312.12,25.27
8,2000-01-01_2010-01-01,-1.79,0.20,-610.84,70.01
8,2010-01-01_2020-01-01,-1.55,0.18,-543.35,65.01
8,2006-01-01_2019-01-01,-1.59,0.17,-554.20,59.49
8,2000-01-01_2020-01-01,-1.67,0.18,-577.56,62.94
9,2000-01-01_2010-01-01,-8.98,1.29,-173.81,25.02
9,2010-01-01_2020-01-01,-11.83,1.11,-232.48,21.90
9,2006-01-01_2019-01-01,-11.09,0.93,-217.24,18.38
9,2000-01-01_2020-01-01,-10.40,0.94,-202.92,18.47
10,2000-01-01_2010-01-01,-1.13,0.18,-456.86,72.62
10,2010-01-01_2020-01-01,-1.31,0.20,-552.73,82.87
10,2006-01-01_2019-01-01,-1.28,0.19,-533.70,78.80
10,2000-01-01_2020-01-01,-1.22,0.18,-503.76,73.45
11,2000-01-01_2010-01-01,-1.71,0.22,-833.56,109.29
11,2010-01-01_2020-01-01,-1.67,0.21,-897.07,112.80
11,2006-01-01_2019-01-01,-1.67,0.21,-873.67,108.33
11,2000-01-01_2020-01-01,-1.69,0.21,-863.75,107.67
12,2000-01-01_2010-01-01,-0.48,0.10,-371.96,77.01
12,2010-01-01_2020-01-01,-0.87,0.13,-719.29,105.91
12,2006-01-01_2019-01-01,-0.78,0.11,-639.44,87.21
12,2000-01-01_2020-01-01,-0.67,0.09,-540.81,76.48
13,2000-01-01_2010-01-01,-5.15,1.09,-105.20,22.28
13,2010-01-01_2020-01-01,-14.06,1.60,-295.60,33.68
13,2006-01-01_2019-01-01,-11.92,1.24,-248.81,25.96
13,2000-01-01_2020-01-01,-9.60,1.06,-199.00,22.15
14,2000-01-01_2010-01-01,-3.56,1.27,-106.71,38.11
14,2010-01-01_2020-01-01,-5.56,1.16,-171.37,35.85
14,2006-01-01_2019-01-01,-5.15,0.77,-157.84,23.69
14,2000-01-01_2020-01-01,-4.56,0.84,-138.59,25.49
15,2000-01-01_2010-01-01,-6.18,0.76,-422.70,52.20
15,2010-01-01_2020-01-01,-7.57,0.86,-533.49,60.74
15,2006-01-01_2019-01-01,-7.23,0.73,-505.65,51.58
15,2000-01-01_2020-01-01,-6.87,0.71,-477.23,49.28
16,2000-01-01_2010-01-01,-0.92,0.14,-421.13,65.26
16,2010-01-01_2020-01-01,-0.94,0.13,-491.26,69.55
16,2006-01-01_2019-01-01,-0.94,0.12,-471.97,62.10
16,2000-01-01_2020-01-01,-0.93,0.12,-453.83,58.23
17,2000-01-01_2010-01-01,-19.15,2.35,-656.76,80.85
17,2010-01-01_2020-01-01,-22.21,2.37,-775.55,83.18
17,2006-01-01_2019-01-01,-21.63,2.08,-751.94,72.80
17,2000-01-01_2020-01-01,-20.68,2.05,-715.61,71.35
18,2000-01-01_2010-01-01,-0.38,0.08,-397.73,83.06
18,2010-01-01_2020-01-01,-0.92,0.14,-1068.36,167.68
18,2006-01-01_2019-01-01,-0.82,0.12,-924.83,135.63
18,2000-01-01_2020-01-01,-0.65,0.10,-718.22,108.68
19,2000-01-01_2010-01-01,-26.17,4.50,-205.89,35.43
19,2010-01-01_2020-01-01,-15.56,3.97,-125.95,32.19
19,2006-01-01_2019-01-01,-18.20,2.34,-146.30,18.85
19,2000-01-01_2020-01-01,-20.87,2.46,-166.49,19.71
